"RAMO","UNIDAD","AÑO","FINALIDAD","FUNCION","SUBFUNCION","REASIGNACION","ACTIVIDAD
INSTITUCIONAL","PROGRAMA PRESUPUESTARIO","PARTIDA DE GASTO","ORIGINAL","ENERO","FEBRERO","MARZO","ABRIL","MAYO","JUNIO","JULIO","AGOSTO","SEPTIEMBRE","OCTUBRE","NOVIEMBRE","DICIEMBRE"
"11","MGC","2023","2","5","2","0","4","E047","11301","  14,330,283.00 ","1180735","1180735","1180735","1180735","1180735","1180735","1180735","1180735","1180735","1180735","1180735","1342198"
"11","MGC","2023","1","3","4","0","1","O001","11301","  1,211,775.00 ","111685","111685","111685","111685","111685","111685","111685","111685","111685","111685","94925","0"
"11","MGC","2023","2","5","2","0","4","E047","13101","  19,420.00 ","1618","1618","1618","1618","1618","1618","1618","1618","1618","1618","1618","1622"
"11","MGC","2023","2","5","2","0","4","E047","13102","  474,623.00 ","288223","186400","0","0","0","0","0","0","0","0","0","0"
"11","MGC","2023","1","3","4","0","1","O001","13102","  31,109.00 ","2593","2593","2593","2593","2593","2593","2593","2593","2593","2593","2593","2586"
"11","MGC","2023","1","3","4","0","1","O001","13201","  97,783.00 ","0","0","0","31971","0","0","0","31971","0","0","0","33841"
"11","MGC","2023","2","5","2","0","4","E047","13201","  992,451.00 ","0","0","0","455362","0","0","0","455362","0","0","0","81727"
"11","MGC","2023","2","5","2","0","4","E047","13202","  1,833,738.00 ","600000","0","0","0","0","0","0","0","0","0","1233738","0"
"11","MGC","2023","1","3","4","0","1","O001","13202","  116,048.00 ","60000","0","0","0","0","0","0","0","0","0","56048","0"
"11","MGC","2023","2","5","2","0","4","E047","13301","  643,071.00 ","53589","53589","53589","53589","53589","53589","53589","53589","53589","53589","53589","53592"
"11","MGC","2023","1","3","4","0","1","O001","13301","  23,723.00 ","1976","1976","1976","1976","1976","1976","1976","1976","1976","1976","1976","1987"
"11","MGC","2023","2","5","2","0","4","E047","13407","  103,158.00 ","8625","8625","8625","8625","8625","8625","8625","8625","8625","8625","8425","8483"
"11","MGC","2023","2","5","2","0","4","E047","14101","  1,932,379.00 ","118649","118649","118649","118649","118649","118649","118649","118649","118649","118649","118649","627240"
"11","MGC","2023","1","3","4","0","1","O001","14101","  121,069.00 ","11135","11135","11135","11135","11135","11135","11135","11135","11135","11135","9719","0"
"11","MGC","2023","2","5","2","0","4","E047","14105","  620,227.00 ","0","0","103381","0","103381","0","103381","0","103381","0","103381","103322"
"11","MGC","2023","1","3","4","0","1","O001","14105","  72,607.00 ","0","0","12101","0","12101","0","12101","0","12101","0","12101","12102"
"11","MGC","2023","1","3","4","0","1","O001","14201","  124,149.00 ","0","0","20691","0","20691","0","20691","0","20691","0","20691","20694"
"11","MGC","2023","2","5","2","0","4","E047","14201","  652,954.00 ","0","0","119905","0","119905","0","119905","0","119905","0","119905","53429"
"11","MGC","2023","2","5","2","0","4","E047","14301","  249,122.00 ","0","0","47662","0","47662","0","47662","0","47662","0","47662","10812"
"11","MGC","2023","1","3","4","0","1","O001","14301","  61,720.00 ","0","0","10286","0","10286","0","10286","0","10286","0","10286","10290"
"11","MGC","2023","2","5","2","0","4","E047","14302","  52,861.00 ","0","0","8810","0","8810","0","8810","0","8810","0","8810","8811"
"11","MGC","2023","1","3","4","0","1","O001","14401","  29,020.00 ","7255","0","0","7255","0","0","7255","0","0","7255","0","0"
"11","MGC","2023","2","5","2","0","4","E047","14401","  283,098.00 ","70775","0","0","70775","0","0","70775","0","0","70773","0","0"
"11","MGC","2023","2","5","2","0","4","E047","14405","  41,080.00 ","3523","3523","3523","3523","3523","3523","3523","3523","3523","3523","3523","2327"
"11","MGC","2023","1","3","4","0","1","O001","14405","  1,035.00 ","254","254","254","254","19","0","0","0","0","0","0","0"
"11","MGC","2023","2","5","2","0","4","E047","14406","  777.00 ","777","0","0","0","0","0","0","0","0","0","0","0"
"11","MGC","2023","1","3","4","0","1","O001","14406","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","MGC","2023","2","5","2","0","4","E047","15301","  1,238,784.00 ","1238784","0","0","0","0","0","0","0","0","0","0","0"
"11","MGC","2023","1","3","4","0","1","O001","15401","  120,928.00 ","9400","9400","9400","9400","9400","9400","9400","17528","9400","9400","9400","9400"
"11","MGC","2023","2","5","2","0","4","E047","15401","  1,842,372.00 ","105573","105573","105573","105573","105573","105573","105573","325182","105573","105573","105573","461460"
"11","MGC","2023","1","3","4","0","1","O001","15402","  711,261.00 ","94014","94014","94014","94014","94014","94014","94014","53163","0","0","0","0"
"11","MGC","2023","2","5","2","0","4","E047","15402","  6,040,813.00 ","483541","483541","483541","483541","483541","483541","483541","483541","483541","483541","483541","721862"
"11","MGC","2023","2","5","2","0","4","E047","15403","  1,443,420.00 ","0","101823","288223","288223","288223","288223","188705","0","0","0","0","0"
"11","MGC","2023","1","3","4","0","1","O001","15901","  316,483.00 ","0","0","0","0","0","0","0","0","0","0","0","316483"
"11","MGC","2023","2","5","2","0","4","E047","15901","  1,494,592.00 ","0","0","0","0","0","0","0","0","0","0","0","1494592"
"11","MGC","2023","2","5","2","0","4","E047","21101","  2,486.00 ","2486","0","0","0","0","0","0","0","0","0","0","0"
"11","MGC","2023","2","5","2","0","4","E047","21201","  3,970.00 ","3970","0","0","0","0","0","0","0","0","0","0","0"
"11","MGC","2023","2","5","2","0","4","E047","21501","  89,600.00 ","0","0","0","31600","0","0","0","28000","0","0","30000","0"
"11","MGC","2023","2","5","2","0","4","E047","21601","  21,900.00 ","0","3000","0","3000","0","3000","0","3000","0","9900","0","0"
"11","MGC","2023","2","5","2","0","4","E047","22104","  8,324.00 ","0","1500","1500","1500","1500","1500","824","0","0","0","0","0"
"11","MGC","2023","2","5","2","0","4","E047","24601","  45,230.00 ","0","10000","0","0","10000","0","5230","10000","0","0","10000","0"
"11","MGC","2023","2","5","2","0","4","E047","24901","  125,000.00 ","0","0","30000","0","0","30000","0","0","30000","0","0","35000"
"11","MGC","2023","2","5","2","0","4","E047","26103","  239.00 ","0","0","239","0","0","0","0","0","0","0","0","0"
"11","MGC","2023","2","5","2","0","4","E047","27101","  201,980.00 ","0","0","0","0","0","0","0","201980","0","0","0","0"
"11","MGC","2023","2","5","3","0","5","E047","27101","  18,094.00 ","0","0","0","0","0","0","0","18094","0","0","0","0"
"11","MGC","2023","2","5","2","0","4","E047","27201","  25,000.00 ","0","0","0","0","0","0","0","25000","0","0","0","0"
"11","MGC","2023","2","5","2","0","4","E047","29101","  41,585.00 ","0","10000","0","10000","0","0","0","0","0","21585","0","0"
"11","MGC","2023","2","5","2","0","4","E047","29201","  72,895.00 ","0","0","35000","0","0","37895","0","0","0","0","0","0"
